,#,Name,Country,Latitude,Longitude
13,54,Audincourt,France,47.48197860005769,6.8413683999999995
14,55,Aulnay-sous-Bois,France,48.934230999708625,2.499789
15,56,Aulnoye-Aymeries,France,50.20025019940762,3.8336383
16,57,Auray,France,47.66644850001583,-2.9833718000000005
17,58,Aurillac,France,44.92854410047491,2.4433101
18,59,Auriol,France,43.368843600541865,5.629861099999999
19,60,Auterive,France,43.352402800541796,1.4775095
0,61,Autun,France,46.95103130017125,4.2989478
1,62,Auxerre,France,47.796128699985815,3.5705789999999995
2,63,Avallon,France,47.48853650005622,3.9070658
3,64,Avion,France,50.412612799362186,2.8343891
4,65,Avon,France,48.40488669983958,2.7207224999999995
5,66,Avranches,France,48.686208499770146,-1.3579476
6,67,Avrillé,France,47.50456570005263,-0.5956539
7,68,Bagneux,France,48.79505599974317,2.3027323
8,69,Bagnolet,France,48.868819899724855,2.4173658
9,70,Bagnols-sur-Cèze,France,44.160481000526495,4.623583099999999
10,71,Baie-Mahault,France,16.267945800055085,-61.5870766
11,72,Bailleul,France,50.739666799296806,2.7349285999999995
12,73,Balma,France,43.61122170054114,1.5057917
13,74,Bandraboua,France,-12.703811600182647,45.12338619999999
14,75,Bandrélé,France,-12.913218400203117,45.194967
15,76,Barbezieux,France,45.470916100416474,-0.1528181
16,77,Barcelonnette,France,44.386204300515146,6.6513554
17,78,Barentin,France,49.54596989955866,0.9522585999999998
18,79,Bar-le-Duc,France,48.77126729974906,5.1623805
19,80,Bar-sur-Aube,France,48.23320469988152,4.7058337
0,81,Basse-Terre,France,16.000077800024496,-61.733337299999995
1,82,Bastia,France,42.70655050052702,9.452541999999998
2,83,Bayeux,France,49.276462399624165,-0.7024738
3,84,Bayonne,France,43.49333790054192,-1.475099
4,85,Beaucaire,France,43.80854360053798,4.6392648
5,86,Beaumont,France,45.75384770037895,3.0870638
6,87,Beaune,France,47.02390640015635,4.838042599999999
7,88,Beausoleil,France,43.74828100053919,7.4219677
8,89,Beauvais,France,49.43009969958667,2.0823355
9,90,Bedous,France,42.99921910053653,-0.6002255
10,91,Bègles,France,44.8074559004855,-0.5488541999999998
11,92,Belfort,France,47.63795990002239,6.8628942
12,93,Bellac,France,46.12090360032334,1.0502545
13,94,Belleville-en-Beaujolais,France,46.10893820032527,4.748655299999999
14,95,Belley,France,45.76075800037799,5.6861466
15,96,Berck,France,50.405257599363715,1.5711616999999998
16,97,Bergerac,France,44.853456800481574,0.487531
17,98,Bernay,France,49.090227799670004,0.5989156999999999
18,99,Berre-l'Étang,France,43.475824900541966,5.1673492
19,100,Béthune,France,50.52234379933958,2.6385601
0,101,Betton,France,48.181712199894015,-1.6414898
1,102,Béziers,France,43.34265620054175,3.2131306999999993
2,103,Bezons,France,48.925001599710924,2.2105491
3,104,Biarritz,France,43.48325230054195,-1.5592776
4,105,Billère,France,43.30300440054149,-0.3905556
5,106,Bitche,France,49.050872899679725,7.425457700000001
6,107,Blagnac,France,43.64340000054078,1.37799
7,108,Blanquefort,France,44.90889820047669,-0.6300363
8,109,Blois,France,47.58768610003385,1.3337639
9,110,Bobigny,France,48.90638699971554,2.4452230999999998
10,111,Bois-Colombes,France,48.91482689971344,2.2674892
11,112,Bois-d'Arcy,France,48.79985599974198,2.0236069999999997
