,year,date,stage,vertical_meters,profile_score,ps_25
11,2006.0,12/07,Stage 10 | Cambo-les-Bains - Pau (190.5 km),3595,174,3
12,2006.0,13/07,Stage 11 | Tarbes - Val d'Aran - Pla-de-Beret (206.5 km),5721,307,107
13,2006.0,14/07,Stage 12 | Luchon - Carcassonne (211.5 km),1750,30,7
14,2006.0,15/07,Stage 13 | Béziers - Montélimar (231 km),1647,18,1
15,2006.0,16/07,Stage 14 | Montélimar - Gap (180.5 km),2644,76,41
16,2006.0,18/07,Stage 15 | Gap - L'Alpe d'Huez (187 km),4442,335,236
17,2006.0,19/07,Stage 16 | Le Bourg d'Oisans - La Toussuire - Les Sybelles (182 km),5456,393,164
18,2006.0,20/07,Stage 17 | St-Jean-de-Maurienne - Morzine (200.5 km),4356,308,166
19,2006.0,21/07,Stage 18 | Morzine - Mâcon (197 km),1751,47,0
20,2006.0,22/07,Stage 19 (ITT) | Le Creusot - Montceau-les-Mines (57 km),376,8,7
21,2006.0,23/07,Stage 20 | Sceaux - Antony - Paris (154.5 km),376,9,7
1,2007.0,07/07,Prologue | London - London (7.9 km),33,0,0
2,2007.0,08/07,Stage 1 | London - Canterbury (203 km),1709,27,11
3,2007.0,09/07,Stage 2 | Dunkerque - Gent (168.5 km),337,0,0
4,2007.0,10/07,Stage 3 | Waregem - Compiegne (236.5 km),1397,12,0
5,2007.0,11/07,Stage 4 | Villers-Cotterets - Joigny (193 km),1652,34,1
6,2007.0,12/07,Stage 5 | Chablis - Autun (182.5 km),2703,88,30
7,2007.0,13/07,Stage 6 | Semur-en-Auxois - Bourg-en-Bresse (199.5 km),1484,20,1
8,2007.0,14/07,Stage 7 | Bourg-en-Bresse - Le Grand Bornand (197.5 km),3250,199,127
9,2007.0,15/07,Stage 8 | Le Grand Bornand - Tignes (165 km),4933,344,175
10,2007.0,17/07,Stage 9 | Val-d’Isère - Briançon (159.5 km),3458,247,21
11,2007.0,18/07,Stage 10 | Tallard - Marseille (229.5 km),1917,44,19
12,2007.0,19/07,Stage 11 | Marseille - Montpellier (182.5 km),854,7,0
13,2007.0,20/07,Stage 12 | Montpellier - Castres (178.5 km),2337,74,2
14,2007.0,21/07,Stage 13 (ITT) | Albi - Albi (54 km),533,26,23
15,2007.0,22/07,Stage 14 | Mazamet - Plateau-de-Beille (197 km),4370,371,238
16,2007.0,23/07,Stage 15 | Foix - Loudenvielle-Le-Louron (196 km),5445,369,126
17,2007.0,25/07,Stage 16 | Orthez - Gourette - Col d'Aubisque (218.5 km),6031,453,223
18,2007.0,26/07,Stage 17 | Pau - Castelsarrasin (188.5 km),1734,44,6
19,2007.0,27/07,Stage 18 | Cahors - Angoulême (211 km),1938,32,5
20,2007.0,28/07,Stage 19 (ITT) | Cognac - Angoulême (55.5 km),480,14,12
21,2007.0,29/07,Stage 20 | Marcoussis - Paris (146 km),796,10,1
1,2008.0,05/07,Stage 1 | Brest - Plumelec (197.5 km),2324,51,23
2,2008.0,06/07,Stage 2 | Auray - Saint-Brieuc (164.5 km),1888,50,11
3,2008.0,07/07,Stage 3 | Saint Malo - Nantes (208 km),1507,13,0
4,2008.0,08/07,Stage 4 (ITT) | Cholet - Cholet (29.5 km),338,9,7
5,2008.0,09/07,Stage 5 | Cholet - Châteauroux (232 km),1299,10,0
6,2008.0,10/07,Stage 6 | Aigurande - Super Besse (195.5 km),3280,167,93
7,2008.0,11/07,Stage 7 | Brioude - Aurillac (159 km),2431,119,36
8,2008.0,12/07,Stage 8 | Figeac - Toulouse (172.5 km),1892,48,11
9,2008.0,13/07,Stage 9 | Toulouse - Bagnères de Bigorre (224 km),3778,217,0
10,2008.0,14/07,Stage 10 | Pau - Hautacam (156 km),3794,346,216
11,2008.0,16/07,Stage 11 | Lannemezan - Foix (167.5 km),2863,148,21
12,2008.0,17/07,Stage 12 | Lavelanet - Narbonne (168.5 km),1197,12,2
13,2008.0,18/07,Stage 13 | Narbonne - Nîmes (182 km),1405,19,0
14,2008.0,19/07,Stage 14 | Nîmes - Digne-les-Bains (194.5 km),1726,47,32
15,2008.0,20/07,Stage 15 | Embrun - Prato Nevoso (183 km),3739,237,150
16,2008.0,22/07,Stage 16 | Cuneo - Jausiers (157 km),4174,259,29
17,2008.0,23/07,Stage 17 | Embrun - l'Alpe d'Huez (210.5 km),5405,389,211
18,2008.0,24/07,Stage 18 | Bourg d'Oisans - Saint-Etienne (196.5 km),1905,75,9
19,2008.0,25/07,Stage 19 | Roanne - Montluçon (165.5 km),1814,43,5
20,2008.0,26/07,Stage 20 (ITT) | Cérilly - Saint-Amand-Montrond (53 km),408,14,10
21,2008.0,27/07,Stage 21 | Étampes - Paris (143 km),807,8,0
1,2009.0,04/07,Stage 1 (ITT) | Monaco - Monaco (15.5 km),316,40,40
2,2009.0,05/07,Stage 2 | Monaco - Brignoles (187 km),2387,49,7
3,2009.0,06/07,Stage 3 | Marseille - La Grande-Motte (196.5 km),987,13,0
4,2009.0,07/07,Stage 4 (TTT) | Montpellier - Montpellier (39 km),430,15,9
5,2009.0,08/07,Stage 5 | Cap d’Agde - Perpignan (196.5 km),1014,8,1
6,2009.0,09/07,Stage 6 | Girona - Barcelona (181.5 km),2227,63,15
7,2009.0,10/07,Stage 7 | Barcelona - Andorra Arcalis (224 km),4910,253,166
8,2009.0,11/07,Stage 8 | Andorra-la-Vella - Saint-Girons (176.5 km),3582,170,9
9,2009.0,12/07,Stage 9 | Saint-Gaudens - Tarbes (160.5 km),2915,110,2
10,2009.0,14/07,Stage 10 | Limoges - Issoudun (194.5 km),2076,28,0
11,2009.0,15/07,Stage 11 | Vatan - Saint-Fargeau (192 km),1535,25,4
12,2009.0,16/07,Stage 12 | Tonnerre - Vittel (211.5 km),2340,50,3
13,2009.0,17/07,Stage 13 | Vittel - Colmar (200 km),3019,139,30
14,2009.0,18/07,Stage 14 | Colmar - Besançon (199 km),1709,40,6
15,2009.0,19/07,Stage 15 | Pontarlier - Verbier (207.5 km),3659,196,142
16,2009.0,21/07,Stage 16 | Martigny - Bourg-Saint-Maurice (159 km),3895,181,0
