,name,strava_id
0,PORSEV  Alexander,
0,REICHENBACH  Sébastien,850495
0,BUSCHE  Matthew,
0,KING  Ben,
0,PICHOT  Alexandre,
0,BIDEAU  Jean-Marc,
0,GRUZDEV  Dmitriy,
0,GUILLOU  Florian,
0,HOLLENSTEIN  Reto,19150197
0,MONTAGUTI  Matteo,
0,ĐURASEK  Kristijan,
0,ŠPILAK  Simon,
0,HOWES  Alex,11673347
0,VISCONTI  Giovanni,2957348
0,GÉRARD  Arnaud,
0,MENDES  José,
0,MEIER  Christian,
0,VACHON  Florian,
0,JARRIER  Benoît,
0,CLEMENT  Stef,4211995
0,HAUSSLER  Heinrich,
0,SCHILLINGER  Andreas,14588610
0,WYSS  Marcel,
0,HAYMAN  Mathew,
0,GOŁAŚ  Michał,
0,MAJKA  Rafał,
0,DEMPSTER  Zak,
0,DURBRIDGE  Luke,
0,VIVIANI  Elia,26837991
0,KEUKELEIRE  Jens,8075081
0,PETIT  Adrien,5070415
0,KLUGE  Roger,22377272
0,DE LA CRUZ  David,2014488
0,JI  Cheng,
0,MODOLO  Sacha,27129740
0,RICHEZE  Maximiliano,
0,VAN EMDEN  Jos,7660926
0,BRÄNDLE  Matthias,
0,KELDERMAN  Wilco,479385
0,DOWSETT  Alex,505408
0,JUNGELS  Bob,49597893
0,VAN BAARLE  Dylan,490505
0,ŠTYBAR  Zdeněk,
0,MARTENS  Paul,
0,MATTHEWS  Michael,2468821
0,PREIDLER  Georg,4236847
0,GAUDIN  Damien,
0,BUCHMANN  Emanuel,2685219
0,ANACONA  Winner,12542977
0,VERMOTE  Julien,
0,YATES  Adam,259171
0,DEVOLDER  Stijn,
0,WELLENS  Tim,366860
0,MEINTJES  Louis,18340568
0,PAUWELS  Serge,
0,SÉNÉCHAL  Florian,32860766
0,WYSS  Danilo,2599710
0,LAPORTE  Christophe,3834960
0,SINKELDAM  Ramon,17916554
0,BARGUIL  Warren,722861
0,JANSE VAN RENSBURG  Jacques,
0,PANTANO  Jarlinson,
0,VAUGRENARD  Benoît,
0,DEBUSSCHERE  Jens,
0,TEKLEHAIMANOT  Daniel,
0,CARUSO  Damiano,4084289
0,NAULEAU  Bryan,
0,HALLER  Marco,14762808
0,JANSE VAN RENSBURG  Reinardt,3952107
0,HAAS  Nathan,12924172
0,SEPÚLVEDA  Eduardo,13194699
0,KOZONTCHUK  Dmitry,
0,POZZATO  Filippo,
0,SOUPE  Geoffrey,2159156
0,VANBILSEN  Kenneth,
0,BENNETT  Sam,
0,VALGREN  Michael,2109462
0,ARREDONDO  Julián David,
0,HERRADA  José,
0,KUDUS  Merhawi,50750582
0,GUARNIERI  Jacopo,
0,ROWE  Luke,785450
0,TULIK  Angélo,
0,BRUN  Frederic,
0,CHAVANEL  Sébastien,
0,PÉRICHON  Pierre-Luc,
0,THEUNS  Edward,1668485
0,MCLAY  Daniel,34780520
0,ENGER  Sondre Holst,
0,STUYVEN  Jasper,288335
0,ALAPHILIPPE  Julian,
0,BRESCHEL  Matti,
0,GROENEWEGEN  Dylan,4352993
0,GATTO  Oscar,
0,WAGNER  Robert,
0,ARU  Fabio,
0,NAESEN  Oliver,440227
0,CRADDOCK  Lawson,259263
0,LINDEMAN  Bert-Jan,7038403
0,DUCHESNE  Antoine,
0,HENAO  Sergio,
0,PIBERNIK  Luka,
0,ROSA  Diego,25190926
0,LANDA  Mikel,
0,GOUGEARD  Alexis,9479785
0,KONRAD  Patrick,4571461
0,BERHANE  Natnael,
0,POLANC  Jan,
0,BREEN  Vegard,
0,BENNETT  George,880187
0,POZZOVIVO  Domenico,
0,VAKOČ  Petr,327434
0,BENEDETTI  Cesare,1326031
0,ZAKARIN  Ilnur,
0,JUUL-JENSEN  Christopher,
0,VICIOSO  Ángel,
0,GRMAY  Tsgabu,
0,KEISSE  Iljo,
0,ARCHBOLD  Shane,
0,HOWARD  Leigh,
0,ROOSEN  Timo,
0,KÜNG  Stefan,133606
0,ARNDT  Nikias,
0,PHINNEY  Taylor,110144
0,LATOUR  Pierre,7347052
0,COLBRELLI  Sonny,2655853
0,FELLINE  Fabio,
0,SÜTTERLIN  Jasha,2582117
0,TEUNISSEN  Mike,1419979
0,POLITT  Nils,2592883
0,HOWSON  Damien,
0,ULISSI  Diego,
0,KONOVALOVAS  Ignatas,
0,BETTIOL  Alberto,16874183
0,ROGLIČ  Primož,67384124
0,CALMEJANE  Lilian,1805247
0,BETANCUR  Carlos,
0,CATALDO  Dario,
0,LAMMERTINK  Maurits,
0,BROWN  Nathan,259470
0,MCCARTHY  Jay,182599
0,GOGL  Michael,28106196
0,LAENGEN  Vegard Stake,
0,CHAVES  Esteban,
0,CINK  Ondřej,1803841
0,BENOOT  Tiesj,1128302
0,DOMONT  Axel,
0,BRAMBILLA  Gianluca,
0,BACKAERT  Frederik,
0,MORENO  Javier,
0,LE GAC  Olivier,1836077
0,CLAEYS  Dimitri,4980290
0,GESBERT  Élie,2321729
0,VENTER  Jaco,
0,PASQUALON  Andrea,
0,BOUDAT  Thomas,14201933
0,KOZHATAYEV  Bakhtiyar,
0,OFFREDO  Yoann,11394929
0,DEGAND  Thomas,4587013
0,POLJAŃSKI  Paweł,
0,VANSPEYBROUCK  Pieter,
0,SAGAN  Juraj,
0,PICHON  Laurent,4046772
0,SELIG  Rüdiger,
0,MARTIN  Guillaume,2992543
0,MINNAARD  Marco,
0,HARDY  Romain,
0,SMITH  Dion,1323252
0,BEVIN  Patrick,
0,THWAITES  Scott,269031
0,VAN KEIRSBULCK  Guillaume,
0,ZABEL  Rick,2557063
0,GAVIRIA  Fernando,24644516
0,DUPONT  Timothy,1709131
0,LAMPAERT  Yves,
0,TURGIS  Anthony,5123163
0,KRAGH ANDERSEN  Søren,
0,SKUJIŅŠ  Toms,2413208
0,TROIA  Oliviero,1311227
0,SCULLY  Tom,
0,KOCHETKOV  Pavel,
0,FRAILE  Omar,2962663
0,CORT  Magnus,40897776
0,PÖSTLBERGER  Lukas,16697560
0,TOLHOEK  Antwan,1039712
0,BERNARD  Julien,1903938
0,BERNAL  Egan,2119306
0,JANSEN  Amund Grøndahl,
0,MÜHLBERGER  Gregor,
0,HAGA  Chad,269660
0,MOSCON  Gianni,3100044
0,MARTÍNEZ  Daniel Felipe,
0,GRELLIER  Fabien,
0,DECLERCQ  Tim,1154552
0,GAUDU  David,4774417
0,SOLER  Marc,1996868
0,PELLIZOTTI  Franco,
0,PEREZ  Anthony,1678917
0,SUTHERLAND  Rory,
0,BOSWELL  Ian,262535
0,DILLIER  Silvan,12427912
0,DE BUYST  Jasper,
0,LEDANOIS  Kévin,16365616
0,MARCZYŃSKI  Tomasz,
0,HEPBURN  Michael,
0,THOMSON  Jay Robert,2195375
0,HANSEN  Jesper,
0,LUDVIGSSON  Tobias,2420222
0,EWAN  Caleb,14259707
0,NIZZOLO  Giacomo,
0,VAN AERT  Wout,189040
0,MEURISSE  Xandro,10545603
0,ASGREEN  Kasper,36356974
0,BOL  Cees,1331421
0,GARCÍA CORTINA  Iván,1292406
0,BONIFAZIO  Niccolò,1554175
0,TRATNIK  Jan,18885405
0,PHILIPSEN  Jasper,1727324
0,TEUNS  Dylan,96714791
0,MAS  Enric,28808807
0,CICCONE  Giulio,29028250
0,EIKING  Odd Christian,601836
0,SCHACHMANN  Maximilian,97936993
0,KÄMNA  Lennard,27117126
0,WOODS  Michael,
0,DE PLUS  Laurens,4049155
0,HOULE  Hugo,288769
0,OURSELIN  Paul,1679361
0,WÜRTZ SCHMIDT  Mads,2109406
0,GONÇALVES  José,
0,ROSSKOPF  Joey,
0,VAN MELSEN  Kévin,
0,DE GENDT  Aimé,5052874
0,BILBAO  Pello,
0,HAIG  Jack,283726
0,BYSTRØM  Sven Erik,2542098
0,MOHORIČ  Matej,4040441
0,ROSSETTO  Stéphane,
0,VERONA  Carlos,1405137
0,WIŚNIOWSKI  Łukasz,3756850
0,COSNEFROY  Benoît,
0,PEDERSEN  Mads,30350488
0,VENTURINI  Clément,1932146
0,MEZGEC  Luka,3613487
0,HIGUITA  Sergio,
0,POGAČAR  Tadej,6021015
0,SWIFT  Connor,863203
0,KOCH  Jonas,4067146
0,FORMOLO  Davide,1850959
0,CONSONNI  Simone,2824377
0,PEDERSEN  Casper,17999372
0,NIEUWENHUIS  Joris,2935665
0,RUSSO  Clément,2905866
0,GIBBONS  Ryan,12772912
0,KUSS  Sepp,254096
0,CARAPAZ  Richard,15104335
0,BARTHE  Cyril,12856902
0,VAN ASBROECK  Tom,387215
0,QUINTANA  Dayer,
0,CHEVALIER  Maxime,31391746
0,GR OßSCHARTNER Felix,
0,HOFSTETTER  Hugo,10847439
0,PACHER  Quentin,1401877
0,PETERS  Nans,1662541
0,POWLESS  Neilson,1557033
0,CARTHY  Hugh,
0,NEILANDS  Krists,12243285
0,WALSCHEID  Max,2323575
0,ELISSONDE  Kenny,1387645
0,HIRT  Jan,591813
0,FRISON  Frederik,28107247
0,LÓPEZ  Miguel Ángel,
0,TEJADA  Harold,
0,HERMANS  Ben,593390
0,BEWLEY  Sam,
0,MADOUAS  Valentin,2404608
0,HIRSCHI  Marc,4475615
0,EG  Niklas,
0,BURGAUDEAU  Mathieu,12274525
0,NIV  Guy,4748635
0,CAVAGNA  Rémi,2203430
0,SIVAKOV  Pavel,1808024
0,CRAS  Steff,2195719
0,VINGEGAARD  Jonas,10495058
