,name,strava_id
0,DEWULF  Stan,3470393
0,SCHULTZ  Nick,358580
0,KRON  Andreas,8783869
0,SCHÖNBERGER  Sebastian,10045754
0,STORER  Michael,17191487
0,DOMBROWSKI  Joe,276702
0,OWSIAN  Łukasz,20332275
0,TORRES  Albert,584854
0,PLANCKAERT  Edward,31541211
0,LAFAY  Victor,3311860
0,KIRSCH  Alex,2590526
0,MOZZATO  Luca,3404110
0,HINDLEY  Jai,1760759
0,STRONG  Corbin,3419730
0,VAN GILS  Maxim,19005138
0,GALL  Felix,5060232
0,BERTHET  Clément,7186660
0,LÓPEZ  Juan Pedro,3098895
0,CHARMIG  Anthon,4027056
0,TRÆEN  Torstein,2674561
0,HERMANS  Quinten,9162783
0,SHAW  James,4848511
0,CHAMPOUSSIN  Clément,3429256
0,ZINGLE  Axel,6973093
0,BIERMANS  Jenthe,2305481
0,GUGLIELMI  Simon,5543279
0,VAN DEN BERG  Lars,17170741
0,ABRAHAMSEN  Jonas,3249116
0,TILLER  Rasmus,3905720
0,TURNER  Ben,18956034
0,REINDERS  Elmar,19222952
0,WELSFORD  Sam,6238618
0,EENKHOORN  Pascal,1563189
0,GREGAARD  Jonas,4056360
0,FERRON  Valentin,549277
0,RENARD  Alexis,5915515
0,MEEUS  Jordi,6750347
0,BAUHAUS  Phil,2217800
0,VAN DEN BROEK  Frank,11270161
0,EVENEPOEL  Remco,23069503
0,VAN WILDER  Ilan,13125039
0,GEE  Derek,5571896
0,ONLEY  Oscar,2195067
0,KULSET  Johannes,5495962
0,BUITRAGO  Santiago,7310716
0,HEALY  Ben,1754389
0,VERVAEKE  Louis,1123635
0,BEULLENS  Cedric,5250418
0,PAGE  Hugo,33118843
0,LAURANCE  Axel,14553572
0,LAPEIRA  Paul,12558355
0,GRÉGOIRE  Romain,31599656
0,VANHOUCKE  Harm,3416738
0,VERMEERSCH  Gianni,1978998
0,DE LIE  Arnaud,28980231
0,DENZ  Nico,3423315
0,DUJARDIN  Sandy,18849788
0,JEGAT  Jordan,3513048
0,VAN DEN BERG  Marijn,2976119
0,PRODHOMME  Nicolas,5201565
0,SOBRERO  Matteo,7181420
0,GHYS  Robbe,7061008
0,QUINN  Sean,5798962
0,MARTINEZ  Lenny,19286143
0,ALLEGAERT  Piet,4111169
0,VAUQUELIN  Kévin,24668658
0,STEWART  Jake,17096447
0,ACKERMANN  Pascal,12274527
0,LAZKANO  Oier,9567228
0,GARCÍA PIERNA  Raúl,13042964
0,DRIZNERS  Jarrad,1307997
0,GACHIGNARD  Thomas,28551378
0,REX  Laurenz,77293819
0,THIJSSEN  Gerben,3417988
