,place_name,coordinate_x,coordinate_y
8,Blois ,47.58768610003385,1.3337639
9,Bobigny ,48.90638699971554,2.4452230999999998
10,Bois,48.91482689971344,2.2674892
11,Bois,48.79985599974198,2.0236069999999997
12,Bois,49.47047839957688,1.1200924
13,Boissy,48.74791929975485,2.5124717
14,Bolbec ,49.57390909955196,0.4742448000000001
15,Bollène ,44.280388200520854,4.7484092
16,Bondues ,50.703462199303736,3.0921637999999994
17,Bondy ,48.90309999971635,2.48291
18,Bonneuil,48.773711599748445,2.4869009
19,Bonneville ,46.0775797003303,6.4086189
0,Bouc,43.451181900542004,5.412784799999999
1,Bouéni ,-12.910708600202874,45.0801256
2,Bouguenais ,47.17930100012378,-1.6233691
3,Boulogne,50.7259984992994,1.6118770999999998
4,Bourg,45.03543750046483,5.0520015
5,Bourg,46.205119200309525,5.2250324
6,Bourges ,47.081439600144414,2.3986275000000004
7,Bourg,48.779517799747,2.3160849999999997
8,Bourg,44.95282220047268,4.8953847
9,Bourgoin,45.58722590040163,5.2828123
10,Bourg,45.61852840039749,6.769431299999999
11,Bras,-20.998743500306507,55.6847941
12,Bressuire ,46.84255720019303,-0.4929017
13,Brétigny,48.60998869978902,2.3075288
14,Briançon ,44.89840370047764,6.6436313
15,Brie,48.6904521997691,2.6166736999999998
16,Brignais ,45.67397550039002,4.7540703
17,Brignoles ,43.40644010054198,6.0616452
18,Brioude ,45.29389700043754,3.3853710999999995
19,Brive,45.15849820045234,1.5332388999999997
0,Bron ,45.73375320038178,4.9092351999999995
1,Brou ,48.2156348998858,1.1660734
2,Bruay,50.48219629934776,2.5461921999999997
3,Bruay,50.397276999365374,3.5379104999999997
4,Bruges ,44.88423790047889,-0.6111473999999999
5,Brunoy ,48.69793119976723,2.5044613
6,Bruz ,48.02458139993183,-1.7471629
7,Bry,48.83528719973319,2.5193322
8,Bully,50.44639999935515,2.7198899999999995
9,Bussy,48.84302569973126,2.6973858
10,Cabestany ,42.67995140052592,2.9403263000000006
11,Cachan ,48.79454129974328,2.3340758
12,Cagnes,43.66120120054055,7.151383399999999
13,Cahors ,44.44950000051139,1.4364999
14,Caluire,45.79699520037281,4.8423304
15,Cambo,43.36091390054183,-1.3994687
16,Cambrai ,50.175960199412955,3.2356612999999994
17,Canet,42.70435900052691,3.0105105
18,Cannes ,43.55151980054164,7.013441799999999
19,Canteleu ,49.45079869958165,1.0352069
0,Capesterre,16.042332200029364,-61.569727399999984
1,Carcassonne ,43.21303580054056,2.3491069
2,Carentan ,49.30328999961758,-1.2463444
3,Carhaix,48.27649969987099,-3.5711476999999996
4,Carmaux ,44.04962960053092,2.1583033
5,Carpentras ,44.055404300530704,5.0487681
6,Carquefou ,47.29719790009845,-1.4921233
7,Carrières,48.94376939970627,2.0341747
8,Carrières,48.91341119971379,2.1779082999999995
9,Carros ,43.78460000053847,7.187849999999998
10,Carvin ,50.49341449934547,2.9577518999999994
11,Castanet,43.51721400054181,1.4980801
12,Castelginest ,43.692923100540106,1.4281537
13,Casteljaloux ,44.31357840051914,0.08827029999999998
14,Castelnaudary ,43.3192021005416,1.9533495
15,Castelnau,43.6393171005408,3.9133310999999997
16,Castelsarrasin ,44.03951510053129,1.1072874999999998
17,Castres ,43.60367760054121,2.2417953999999995
18,Caudry ,50.124336299424385,3.4105032
19,Cavaillon ,43.835680800537354,5.038352199999999
0,Cenon ,44.855288200481404,-0.5239862999999999
1,Cergy ,49.05275279967928,2.0388736
2,Cesson,48.11977989990896,-1.6038828999999997
3,Cestas ,44.741157400490884,-0.6841225
4,Chalette,48.01446389993424,2.7320233999999997
5,Challans ,46.84794300019196,-1.8773786999999997
6,Châlons,48.956621799703086,4.362885099999999
7,Chalon,46.78889970020361,4.852960499999999
8,Chamalières ,45.77320000037623,3.06115
9,Chambray,47.339087200089324,0.7143679999999999
10,Chamonix,45.92467050035402,6.8727506
11,Champagnole ,46.745604900212015,5.908358099999999
12,Champigny,48.81377589973851,2.5107383999999997
13,Champs,48.85268919972886,2.6027219
14,Chantepie ,48.08815499991658,-1.6171481999999997
15,Chantilly ,49.19317359964462,2.4636685999999997
16,Charenton,48.819847899737006,2.4159507999999996
17,Charleville,49.773571199504595,4.720693899999999
18,Charmes ,48.372541199847525,6.293385599999999
19,Chartres ,48.443860099830005,1.4881433999999998
0,Châteaubriant ,47.71940570000364,-1.3757281999999997
1,Château,47.06439770014795,3.9330027999999992
